6495,90943,76320,25789,75060,49074
3714,95840,73057,68240,17539,75060
7285,76320,17539,68240,79404,98565
8238,25789,34892,67181,17539,43791
1308,90943,67181,17539,68240,67619
5648,25789,75060,10767,17539,67619
3060,76320,73057,75060,98565,55826
6925,53277,76320,75060,67181,17539
8522,83813,95840,76320,17539,10767
7878,98948,76320,67619,68240,79404
8117,98948,79404,17539,68240,90154
7384,79404,68240,75060,81349,66852
1832,17539,68240,43791,66852,25789
7427,53277,76320,79404,43791,10767
1052,25789,17539,81349,49074,80651
9237,53277,95840,79404,43791,10767
1716,98948,90943,95840,67619,17539
8043,25789,76320,95840,67619,10767
1637,98948,43791,67181,17539,49074
3364,95840,76320,75060,68240,43791
6947,83813,43791,68240,75060,67619
4289,34892,43791,75060,79404,80651
5358,98948,53277,90943,25789,67619
5845,98948,95840,67181,17539,68240
1255,76320,95840,79404,10767,49074
3180,98948,34892,17539,67619,67181
7605,76320,75060,43791,68240,79404
9549,53277,95840,34892,79404,43791
8714,76320,73057,67181,10767,66852
9304,83813,17539,75060,49074,36187
5680,90943,79404,43791,17539,90154
2465,83813,76320,34892,95840,90154
7925,83813,43791,67181,67619,10767
4656,83813,73057,76320,17539,90154
7644,83813,53277,95840,75060,67181
1093,81349,10767,66852,67181,75060
2738,53277,17539,68240,73057,49074
4194,53277,67181,67619,43791,10767
1453,53277,95840,43791,81349,73057
3931,53277,76320,68240,43791,36187
7379,95840,67181,17539,67619,90154
7725,67181,17539,81349,90154,10767
3849,90943,73057,67619,66852,67462
4774,83813,73057,43791,67181,67619
6012,76320,43791,49074,66852,55826
6882,53277,25789,68240,10767,90154
4238,90943,34892,43791,67181,79404
8790,79404,67181,81349,49074,75060
3838,98948,25789,75060,67181,10767
7125,17539,10767,43791,67619,75060
8026,53277,76320,67181,73057,75060
8792,83813,53277,76320,25789,34892
9923,83813,34892,17539,90154,67181
1702,68240,66852,80651,36187,29779
5813,53277,95840,34892,67181,67619
9059,17539,67619,36187,67462,47931
7278,83813,76320,95840,43791,17539
1603,83813,95840,73057,75060,98565
1029,76320,67181,68240,10767,75060
3371,76320,10767,68240,43791,49074
4292,95840,90943,25789,73057,68240
5552,95840,75060,10767,49074,36187
9694,95840,76320,67181,68240,75060
5871,98948,79404,10767,68240,66852
6655,83813,98948,76320,95840,90154
9881,95840,49074,55826,75060,67181
2023,95840,68240,17539,67181,10767
7653,79404,17539,10767,81349,47931
8852,53277,83813,95840,76320,67181
5698,98948,75060,49074,17539,10767
1664,98948,34892,75060,43791,67181
9033,75060,67181,49074,67619,36187
2065,79404,67181,43791,68240,90154
9473,76320,17539,68240,25789,90943
6723,96675,98948,83813,17539,66852
7110,96675,83813,66852,68240,76320
4020,66807,17539,98565,78631,32877
4785,68240,18767,98565,17539,80587
6128,76320,95840,66807,66852,39942
4223,90943,25789,98565,68240,18743
3555,88886,39942,18743,98565,68240
3129,18743,17539,66852,68240,91519
7451,39942,80587,43791,32877,80651
5588,76320,18767,18743,66807,39942
2406,88886,17539,28965,81349,38929
8908,98948,68240,66807,80587,39942
4861,83813,91519,68240,90943,18743
3836,96675,98565,66852,18743,91519
7805,96675,98948,18767,18743,98565
1158,90943,88886,98565,18767,80587
1951,96675,82848,83813,66807,90943
1950,91519,66807,17539,78631,80587
3562,98948,39942,28965,43791,32877
3030,98948,25789,18767,68240,95840
2147,83813,91519,18743,76320,68240
2413,88886,83813,76320,18743,80587
4971,17539,66852,98565,25789,88886
5157,98948,18743,66807,66852,39942
3141,88886,18743,98565,66807,39942
9016,98948,76320,91519,68240,28965
1923,96675,76320,25789,90943,66852
7035,76320,17539,98565,25789,66807
8889,25789,66852,17539,18743,98565
1407,98948,83813,91519,98565,66852
8517,82848,83813,88886,17539,80587
2937,66807,98565,18743,25789,90943
1331,90943,25789,98565,18767,28965
2839,96675,17539,66852,25789,68240
9397,91519,88886,68240,66852,80587
1662,82848,25789,95840,28965,78631
2168,18743,98565,76320,83813,66852
8725,17539,18767,18743,91519,25789
2613,96675,18743,76320,98948,66807
2619,98948,66852,76320,17539,66807
2618,90943,39942,25789,98565,66852
7854,76320,28965,80587,75060,80651
6924,82848,96675,91519,83813,98565
6163,18743,98565,66807,39942,95840
2801,98948,83813,76320,17539,98565
7694,76320,17539,78631,80587,28965
7498,82848,25789,98565,18743,76320
4797,66852,66807,39942,80587,78631
1425,90943,76320,17539,39942,68240
3366,98948,83813,98565,39942,66852
4949,98565,28965,55826,78631,38929
7413,98948,17539,18743,18767,91519
6206,83813,25789,90943,17539,98565
6047,83813,68240,17539,66852,18767
2369,66807,68240,80587,95840,43791
8593,96675,91519,17539,95840,28965
3878,96675,25789,68240,98565,66852
8104,66807,81349,38929,69862,29779
8064,96675,83813,98948,68240,78631
3728,98948,25789,68240,90943,18743
2479,96675,98948,83813,98565,95840
6486,96675,68240,90943,18767,18743
7007,66852,28965,78631,80587,18767
7756,83813,68240,17539,88886,18743
9015,76320,17539,98565,18743,88886
2757,18743,66852,98565,17539,95840
7766,88886,83813,68240,66807,39942
4360,98565,18743,91519,90943,25789
4457,96675,82848,39942,18767,90943
4458,18767,91519,18743,95840,25789
5645,82848,76320,83813,66807,91519
8407,68240,98565,25789,90943,88886
4690,82848,96675,68240,39942,18767
7323,83813,66807,95840,25789,90943
7201,82848,68240,66852,95840,25789
5359,25789,83813,90943,76320,66807
1111,76320,66807,90943,39942,25789
1119,91519,18767,39942,95840,55826
2748,83813,18743,76320,17539,91519
9951,18743,90943,25789,83813,76320
