860,297,1007
752,588,1024
609,436,1029
405,375,1052
637,416,1077
712,523,1093
251,192,1111
631,797,1118
989,989,1119
929,200,1158
518,979,1188
980,908,1215
637,177,1247
467,842,1255
793,646,1257
166,207,1308
980,876,1331
800,305,1395
211,343,1407
722,248,1425
192,479,1453
764,752,1464
759,357,1511
536,876,1603
781,532,1624
830,263,1635
980,629,1637
215,343,1638
595,985,1662
430,269,1664
742,476,1702
222,618,1716
871,605,1737
946,647,1830
500,162,1832
236,605,1864
375,641,1898
946,711,1923
800,224,1950
512,505,1951
983,264,2023
132,132,2065
375,919,2132
300,273,2147
913,958,2168
512,985,2260
421,687,2282
685,960,2337
759,142,2369
338,703,2381
561,971,2406
631,923,2413
536,652,2449
631,142,2465
913,505,2470
222,312,2479
933,300,2567
166,143,2613
712,848,2618
868,476,2619
390,740,2663
946,312,2738
752,977,2748
793,173,2757
685,641,2801
915,269,2839
117,264,2937
512,629,2958
175,163,3030
652,163,3060
863,230,3129
742,989,3134
117,647,3141
716,374,3180
769,518,3229
300,920,3272
711,248,3294
487,915,3347
946,263,3360
588,518,3364
609,797,3366
685,658,3371
764,588,3555
981,122,3562
754,781,3584
960,500,3612
769,594,3636
405,359,3639
716,467,3644
740,230,3678
958,641,3687
715,915,3688
759,332,3714
518,400,3728
291,785,3733
891,716,3812
863,640,3824
505,359,3836
754,532,3838
561,908,3849
868,122,3868
742,646,3878
742,897,3905
715,637,3931
921,658,3974
561,876,3994
740,640,4020
228,929,4113
800,476,4146
933,173,4158
479,436,4194
973,921,4199
436,848,4208
430,369,4223
279,143,4238
921,981,4289
140,634,4292
280,398,4296
727,727,4318
207,606,4360
989,633,4385
175,640,4390
282,465,4457
140,437,4458
218,218,4486
605,400,4656
273,977,4690
920,515,4711
983,512,4717
357,647,4774
545,727,4785
920,920,4797
436,515,4861
279,297,4920
830,338,4922
177,687,4949
921,979,4971
923,500,5064
658,274,5157
430,863,5191
883,871,5230
711,515,5247
215,923,5358
357,990,5359
979,979,5360
715,400,5395
122,398,5465
764,487,5502
609,968,5514
291,594,5519
545,318,5552
703,398,5588
990,142,5644
215,273,5645
117,274,5648
421,523,5654
646,968,5680
211,305,5698
131,163,5734
536,706,5813
140,207,5819
793,365,5828
800,868,5845
228,200,5871
523,192,5873
958,588,5928
934,797,5939
754,785,5952
876,842,5995
860,930,6012
523,634,6047
977,466,6054
117,142,6057
727,977,6079
269,934,6120
960,162,6128
860,279,6163
405,505,6177
646,703,6203
890,466,6206
545,479,6268
279,930,6325
343,162,6352
211,466,6379
930,143,6396
166,606,6426
264,365,6462
375,145,6486
722,933,6495
868,981,6539
140,606,6580
248,332,6582
985,979,6644
913,913,6655
545,273,6704
263,934,6723
536,980,6741
606,437,6882
706,224,6890
269,369,6924
416,687,6925
785,145,6947
479,897,7007
207,437,7025
218,304,7035
282,332,7110
797,465,7125
919,930,7201
919,297,7278
251,920,7285
785,781,7323
722,634,7345
175,131,7379
280,515,7384
215,933,7413
251,282,7427
983,465,7451
218,337,7470
132,871,7498
251,923,7599
706,985,7605
280,222,7610
162,860,7616
913,929,7638
897,173,7644
971,990,7653
883,532,7694
263,282,7725
421,421,7756
618,647,7766
374,467,7805
890,369,7818
716,968,7854
224,359,7878
283,416,7886
640,369,7925
561,145,8011
365,338,8026
711,398,8043
305,500,8064
971,224,8065
769,416,8104
793,122,8117
658,166,8123
192,222,8179
374,842,8205
740,863,8238
712,132,8374
487,842,8407
685,145,8443
891,318,8517
883,960,8522
971,400,8539
687,390,8548
280,390,8593
722,848,8679
929,973,8714
637,283,8725
609,312,8760
890,633,8787
764,958,8790
343,989,8792
990,897,8805
891,374,8845
230,633,8852
639,639,8889
715,297,8908
318,173,8932
291,754,9015
337,337,9016
883,934,9019
421,871,9033
641,177,9059
337,304,9128
973,163,9134
357,264,9206
248,848,9237
332,274,9254
759,618,9274
891,338,9304
618,983,9366
919,143,9376
228,973,9397
908,706,9441
283,177,9469
131,652,9473
211,430,9491
769,390,9549
228,132,9552
968,467,9575
631,312,9644
830,915,9694
175,175,9703
981,476,9766
830,717,9769
712,532,9771
405,594,9820
629,605,9821
291,781,9881
365,703,9923
908,723,9951
