3584,1
1024,1
1029,3
2567,2
9019,0
8714,1
5644,0
8205,2
7694,0
4774,3
8593,0
2065,3
6163,2
8725,2
5654,0
2479,2
3612,2
6177,1
3931,0
5157,0
9254,0
7345,1
9769,2
9771,2
7725,2
8238,2
9821,1
5680,3
4146,3
3636,0
1077,3
6054,1
8760,1
3129,0
2618,2
2619,2
3644,3
3134,0
8117,0
5698,2
6723,2
1093,3
9703,1
2337,2
7756,0
5645,2
4690,1
8787,1
2132,3
6741,1
7766,0
1111,1
9304,1
9820,0
9397,0
3678,3
1119,0
5648,2
4194,2
2147,0
1637,2
1638,1
3687,3
3688,3
2663,3
3180,3
4717,1
5230,3
4208,3
5995,3
9491,1
7285,1
6704,1
2168,2
6268,2
7805,3
3141,0
4223,2
1664,3
3714,3
8043,2
4113,3
3733,0
1158,3
1624,0
7818,2
8845,1
4238,3
3728,2
8852,2
7278,0
9366,1
4292,1
4199,1
3229,1
9376,0
1188,2
1702,3
5813,0
3868,1
4711,1
5734,2
7854,0
4785,0
2738,1
1716,3
6325,2
8374,1
8889,2
5819,1
2748,0
4797,0
1215,2
4289,0
9923,3
5828,1
2757,1
7878,2
7201,2
3272,0
1737,2
8908,0
5360,2
7886,3
6352,1
7379,2
2260,1
5845,2
8407,1
7384,1
3294,2
9951,1
9441,1
6882,1
3812,1
3366,1
1255,0
1257,1
6890,3
6379,1
5358,2
5871,3
3824,0
2801,3
3878,0
1662,0
4458,1
6047,0
8443,2
3836,2
9469,1
3838,0
9473,2
7427,2
7638,1
4360,2
3849,1
6924,2
6925,1
5395,2
4390,1
2839,2
4656,2
6426,3
7451,0
1308,0
3360,2
4385,0
6947,3
3364,1
3974,0
1830,2
1832,1
3371,1
1118,1
7470,1
1425,0
8932,3
1331,1
4318,2
9015,3
9016,0
4922,2
1247,0
6462,1
2613,0
5952,3
2369,0
6539,3
8517,3
1511,1
1864,2
9033,3
8522,2
3639,2
3347,1
2381,2
9552,3
4920,0
4861,1
4949,0
6486,1
2023,3
5465,0
8026,1
8539,3
9274,3
7007,0
9059,0
8548,3
2406,0
9575,2
8792,1
4457,2
1898,3
4971,2
7323,2
2413,3
1052,2
5928,1
7025,1
1395,1
6206,2
2937,1
8790,3
7035,1
6012,1
2282,0
5502,3
1407,0
8064,0
8065,1
1923,2
8805,2
4486,0
3905,1
5514,3
5247,1
2958,1
5519,3
2449,2
1603,3
9881,3
3994,1
5359,1
9237,3
1950,0
1951,1
2465,0
7413,2
2470,2
5873,0
9128,1
6057,0
5191,0
9644,2
1453,2
9134,3
7599,1
5552,0
6203,1
7925,2
4020,0
7605,1
6582,3
1464,1
3060,1
7610,3
8123,3
7498,2
6079,2
7616,3
8011,1
7110,2
5064,2
4158,2
5939,2
9549,0
1635,1
5588,0
7125,2
3030,2
7644,2
9694,1
3555,0
7653,0
9766,0
8679,3
6120,2
6396,3
3562,0
6580,1
1007,1
6128,0
8104,0
6495,1
8179,2
6644,1
9206,3
4296,1
6655,2
